City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Heilbron,0,ZA,1570573938,19,-27.29,27.97,57.24,9.04
1,Atuona,1,PF,1570574221,73,-9.8,-139.03,79.27,10.99
2,Ushuaia,75,AR,1570574221,80,-54.81,-68.31,44.6,28.86
3,Kapaa,40,US,1570574044,70,22.08,-159.32,84.2,12.75
4,Namibe,98,AO,1570574140,87,-15.19,12.15,67.14,11.77
5,Datong,100,CN,1570574222,45,40.09,113.3,53.82,3.23
6,Hermanus,72,ZA,1570574222,84,-34.42,19.24,57.0,18.14
7,Carnarvon,0,ZA,1570573900,40,-30.97,22.13,55.53,12.37
8,Carmelo,0,UY,1570574223,32,-34.0,-58.28,75.2,6.93
9,Lasa,33,CY,1570574223,82,34.92,32.53,69.8,5.82
10,Yellowknife,90,CA,1570574224,55,62.45,-114.38,33.8,17.22
11,Aklavik,75,CA,1570574004,69,68.22,-135.01,33.8,2.24
12,Saint-Philippe,1,CA,1570574224,54,45.36,-73.48,59.0,5.82
13,Kangaatsiaq,22,GL,1570574225,55,68.31,-53.46,38.43,10.89
14,Tuktoyaktuk,75,CA,1570574225,66,69.44,-133.03,32.0,9.17
15,Aasiaat,16,GL,1570574226,64,68.71,-52.87,28.26,7.1
16,Bethel,40,US,1570574226,76,60.79,-161.76,48.2,12.75
17,Mataura,100,NZ,1570574226,97,-46.19,168.86,51.01,1.01
18,Cape Town,20,ZA,1570574227,72,-33.93,18.42,59.0,5.82
19,Bluff,12,AU,1570574227,21,-23.58,149.07,81.05,9.33
20,Bambous Virieux,40,MU,1570574227,78,-20.34,57.76,71.6,14.99
21,Deputatskiy,100,RU,1570574228,98,69.3,139.9,3.06,2.8
22,New Norfolk,40,AU,1570574228,58,-42.78,147.06,55.99,6.93
23,Barcelos,61,BR,1570574229,87,-0.97,-62.93,76.21,1.09
24,Vilhena,40,BR,1570574229,78,-12.74,-60.15,71.6,12.75
25,Kahului,20,US,1570574230,51,20.89,-156.47,86.0,6.93
26,Maicao,92,CO,1570574230,72,11.38,-72.24,85.59,17.6
27,Puerto Ayora,20,EC,1570574230,60,-0.74,-90.35,75.2,20.8
28,Kattivakkam,40,IN,1570574231,83,13.22,80.32,82.99,10.92
29,Nawada,20,IN,1570574231,94,24.89,85.55,75.2,1.1
30,Cururupu,95,BR,1570574232,89,-1.82,-44.87,72.99,3.06
31,Hobart,40,AU,1570574144,58,-42.88,147.33,55.99,6.93
32,Along,98,IN,1570574232,98,28.17,94.8,65.01,1.78
33,Nefteyugansk,0,RU,1570574233,86,61.09,72.61,37.4,6.71
34,Poum,8,MK,1570574233,91,41.28,20.71,44.96,3.42
35,Nanyuki,17,KE,1570574233,86,0.01,37.07,57.35,8.9
36,Nelson Bay,75,AU,1570574234,51,-32.72,152.14,61.0,14.99
37,Comodoro Rivadavia,40,AR,1570574234,44,-45.87,-67.48,59.0,8.05
38,Rikitea,100,PF,1570574234,87,-23.12,-134.97,66.71,11.3
39,Faanui,66,PF,1570574235,84,-16.48,-151.75,77.09,23.55
40,Port Alfred,0,ZA,1570574235,94,-33.59,26.89,62.01,4.0
41,Zaozerne,100,UA,1570574235,66,51.37,23.94,48.0,17.23
42,Amahai,75,ID,1570574236,96,-3.31,129.0,79.0,1.01
43,Norman Wells,40,CA,1570574236,51,65.28,-126.83,37.4,4.7
44,Khalkhal,0,IR,1570574236,50,37.62,48.53,47.17,2.43
45,Waitati,100,NZ,1570574237,86,-45.75,170.57,54.0,3.0
46,Mecca,74,SA,1570574237,33,21.43,39.83,89.73,6.34
47,Yulara,0,AU,1570574237,25,-25.24,130.99,62.6,11.41
